timestamp_ms,raw_value
3,1141
8,1200
13,1189
18,1168
23,1211
28,1163
33,1197
38,1186
43,1163
48,1205
53,1156
58,1186
63,1173
68,1152
73,1195
78,1141
83,1180
88,1168
93,1147
98,1189
103,1136
108,1174
113,1165
118,1146
123,1195
128,1143
133,1186
138,1176
143,1163
148,1206
153,1155
158,1200
163,1185
168,1167
173,1211
178,1155
183,1199
188,1182
193,1165
198,1202
203,1148
208,1185
213,1174
218,1153
223,1199
228,1142
233,1183
239,1168
243,1149
248,1190
253,1136
258,1171
263,1154
268,1134
273,1171
278,1121
283,1153
288,1137
293,1120
298,1158
303,1105
308,1147
313,1127
318,1107
323,1147
328,1095
333,1132
338,1109
343,1098
348,1132
353,1083
358,1120
363,1104
368,1091
373,1133
378,1086
383,1129
388,1113
393,1104
398,1150
403,1101
408,1143
413,1131
418,1118
423,1158
428,1106
433,1143
438,1127
443,1113
448,1152
453,1102
458,1136
463,1115
468,1103
473,1138
480,1088
483,1131
488,1109
493,1104
498,1138
503,1089
508,1131
513,1110
518,1103
523,1136
528,1087
533,1125
538,1104
543,1092
548,1126
553,1076
558,1107
563,1088
568,1073
573,1104
578,1056
583,1090
588,1071
593,1060
598,1088
603,1042
608,1083
613,1062
618,1055
623,1087
628,1042
633,1082
638,1063
643,1054
648,1088
653,1041
658,1083
663,1063
668,1055
673,1089
678,1045
683,1083
689,1061
693,1055
698,1087
703,1043
708,1085
713,1063
718,1058
723,1092
728,1049
733,1089
738,1072
743,1069
748,1104
753,1059
758,1104
763,1084
768,1082
773,1115
778,1072
783,1118
789,1095
793,1089
798,1126
803,1081
808,1125
813,1103
818,1101
823,1129
828,1083
833,1123
838,1104
843,1100
848,1130
853,1085
858,1127
863,1104
868,1098
873,1127
878,1086
883,1129
889,1105
893,1101
898,1136
903,1087
908,1126
913,1103
918,1099
923,1125
928,1078
933,1124
939,1098
943,1094
948,1124
953,1077
958,1120
963,1094
968,1094
973,1119
978,1074
983,1120
988,1090
993,1090
998,1114
1003,1072
1008,1116
1013,1087
1018,1087
1023,1115
1028,1071
1033,1113
1038,1087
1043,1088
1048,1113
1053,1072
1058,1116
1063,1088
1068,1090
1073,1119
1078,1075
1083,1122
1088,1091
1093,1101
1098,1126
1103,1082
1108,1125
1113,1099
1118,1104
1123,1129
1128,1085
1133,1130
1138,1101
1143,1104
1148,1130
1153,1088
1158,1127
1163,1101
1168,1102
1173,1130
1178,1083
1183,1129
1189,1098
1193,1103
1198,1127
1203,1085
1208,1131
1213,1103
1218,1104
1223,1131
1228,1088
1233,1133
1238,1101
1243,1104
1248,1130
1253,1085
1258,1133
1263,1101
1268,1104
1273,1130
1278,1088
1283,1133
1288,1103
1293,1107
1298,1132
1303,1088
1308,1135
1313,1104
1318,1107
1323,1134
1328,1088
1333,1136
1339,1102
1343,1107
1348,1130
1353,1088
1358,1133
1363,1099
1368,1105
1373,1130
1378,1087
1383,1135
1389,1098
1393,1105
1398,1127
1403,1086
1408,1135
1413,1102
1418,1106
1423,1127
1428,1088
1433,1134
1439,1102
1443,1106
1448,1128
1453,1088
1458,1136
1463,1102
1468,1109
1473,1130
1478,1088
1483,1136
1488,1102
1493,1110
1498,1135
1503,1091
1508,1138
1513,1104
