timestamp_ms,raw_value
2,38
7,35
12,38
17,36
22,36
27,37
32,34
37,37
42,35
47,37
52,35
57,33
62,39
67,33
72,37
77,35
82,33
87,34
92,35
97,35
102,33
107,32
112,31
117,30
122,31
127,30
132,30
137,32
142,28
147,28
152,27
157,26
162,27
167,23
172,22
177,18
182,19
187,21
192,17
197,18
202,18
207,16
212,17
217,16
222,16
227,16
232,14
237,16
242,15
247,16
252,12
257,14
262,14
267,14
272,14
277,13
282,14
287,16
292,16
297,16
302,16
307,16
312,17
317,16
322,18
327,17
332,19
337,22
342,22
347,23
352,23
357,26
362,26
367,23
372,28
377,29
382,29
387,31
392,32
397,32
402,32
407,33
412,32
417,32
422,32
427,33
432,34
437,35
442,34
447,36
452,37
457,36
462,37
467,34
472,36
477,37
482,36
487,38
492,38
497,37
502,39
507,38
512,39
517,37
522,42
527,43
532,41
537,42
542,39
547,45
552,43
557,41
562,43
567,44
572,45
577,43
582,43
587,47
592,45
597,48
602,45
607,48
612,47
617,47
622,48
627,48
632,48
637,48
642,48
647,48
652,48
657,48
662,48
667,48
672,49
677,48
682,48
687,49
692,48
697,50
702,49
707,52
712,50
717,49
722,51
727,49
732,50
737,52
742,50
747,51
752,52
757,52
762,54
767,54
772,54
777,55
782,54
787,54
792,52
797,53
802,55
807,55
812,55
817,57
822,54
827,55
832,55
837,55
842,55
847,57
852,55
857,58
862,57
867,58
872,59
877,59
882,61
887,61
892,55
897,62
902,59
907,61
912,64
917,59
922,61
927,61
932,61
937,62
942,60
947,64
952,61
957,62
962,62
967,62
972,63
977,63
982,64
987,63
992,64
997,64
1002,61
1007,64
1012,63
1017,63
1022,64
1027,62
1032,64
1037,64
1042,63
1047,64
1052,63
1057,62
1062,64
1067,62
1072,63
1077,62
1082,62
1087,61
1092,62
1097,64
1102,63
1107,62
1112,63
1117,62
1122,64
1127,62
1132,62
1137,64
1142,60
1147,63
1152,61
1157,61
1162,64
1167,61
1172,63
1177,61
1182,62
1187,61
1192,61
1197,61
1202,64
1207,61
1212,62
1217,61
1222,63
1227,60
1232,63
1237,60
1242,59
1247,64
1252,62
1257,64
1262,64
1267,62
1272,64
1277,62
1282,61
1287,61
1292,62
1297,61
1302,59
1307,57
1312,59
1317,61
1322,64
1327,62
1332,60
1337,59
1342,61
1347,62
1352,60
1357,60
1362,62
1367,59
1372,61
1377,61
1382,60
1387,62
1392,60
1397,60
1402,61
1407,62
1412,62
1417,61
1422,60
1427,61
1432,61
1437,61
1442,59
1447,63
1452,59
1457,61
1462,61
1467,59
1472,62
1477,59
1482,63
1487,61
1492,59
1497,62
1502,62
1507,62
1512,63
1517,59
1522,61
1527,59
1532,59
1537,61
1542,60
1547,60
1552,61
1557,63
1562,59
1567,60
1572,59
1577,59
1582,59
1587,61
1592,60
1597,59
1602,59
1607,62
1612,59
1617,61
1622,62
1627,59
1632,59
1637,62
1642,61
1647,59
1652,59
1657,60
1662,61
1667,59
1672,59
1677,58
1682,61
1687,61
1692,61
1697,61
1702,57
1707,59
1712,61
1717,59
1722,61
1727,58
1732,59
1737,60
1742,59
1747,57
1752,58
1757,60
1762,59
1767,58
1772,59
1777,59
1782,58
1787,57
1792,57
1797,60
1802,59
1807,59
1812,61
1817,59
1822,61
1827,59
1832,61
1837,58
1842,60
1847,60
1852,59
1857,58
1862,58
1867,58
1872,59
1877,58
1882,61
1887,61
1892,59
1897,59
1902,57
1907,58
1912,58
1917,58
1922,59
1927,57
1932,59
1937,59
1942,59
1947,59
1952,57
1957,59
1962,59
1967,54
1972,59
1977,57
1982,59
1987,59
1992,58
1997,59
2002,57
2007,59
2012,58
2017,57
2022,58
2027,55
2032,59
2037,55
2042,58
2047,61
2052,59
2057,60
2062,59
2067,58
2072,59
2077,58
2082,58
2087,57
2092,55
2097,61
2102,56
2107,58
2112,58
2117,55
2122,59
2127,58
2132,59
2137,59
2142,56
2147,61
2152,61
2157,59
2162,61
2167,57
2172,59
2177,57
2182,58
2187,59
2192,58
2197,59
2202,55
2207,61
2212,58
2217,58
2222,61
2227,57
2232,59
2237,58
2242,55
2247,61
2252,57
2257,61
2262,55
2267,57
2272,59
2277,54
2282,57
2287,58
2292,59
2297,58
2302,57
2307,59
2312,57
2317,58
2322,58
2327,57
2332,58
2337,55
2342,56
2347,58
2352,55
2357,58
2362,58
2367,55
2372,59
2377,58
2382,59
2387,58
2392,58
2397,59
2402,58
2407,59
2412,53
2417,55
2422,59
2427,58
2432,57
2437,58
2442,57
2447,55
2452,57
2457,61
2462,56
2467,59
2472,59
2477,55
2482,61
2487,59
2492,58
2497,59
2502,58
2507,61
2512,58
2517,59
2522,59
2527,59
2532,58
2537,57
2542,57
2547,59
2552,54
2557,56
2562,59
2567,58
2572,59
2577,55
2582,58
2587,59
2592,57
2597,59
2602,59
2607,57
2612,58
2617,58
2622,59
2627,55
2632,55
2637,59
2642,57
2647,58
2652,58
2657,59
2662,60
2667,55
2672,59
2677,55
2682,55
2687,59
2692,58
2697,58
2702,57
2707,58
2712,59
2717,58
2722,58
2727,55
2732,58
2737,58
2742,55
2747,60
2752,58
2757,58
2762,55
2767,59
2772,57
2777,57
2782,58
2787,57
2792,58
2797,57
2802,58
2807,59
2812,58
2817,59
2822,59
2827,57
2832,59
2837,59
2842,55
2847,58
2852,58
2857,60
2862,57
2867,57
2872,59
2877,57
2882,57
2887,58
2892,55
2897,58
2902,58
2907,57
2912,58
2917,59
2922,58
2927,55
2932,60
2937,57
2942,59
2947,59
2952,58
2957,60
2962,58
2967,59
2972,58
2977,56
2982,58
2987,55
2992,55
2997,55
3002,57
3007,56
3012,58
3017,57
3022,57
3027,59
3032,59
3037,57
3042,59
3047,59
3052,58
3057,59
3062,55
3067,58
3072,56
3077,57
3082,57
3087,59
3092,60
3097,58
3102,58
3107,57
3112,57
3117,57
3122,59
3127,58
3132,58
3137,58
3142,59
3147,57
3152,60
3157,58
3162,57
3167,59
3172,59
3177,57
3182,59
3187,58
3192,59
3197,59
3202,58
3207,59
3212,57
3217,59
3222,60
3227,58
3232,57
3237,55
3242,57
3247,58
3252,55
3257,59
3262,59
3267,60
3272,57
3277,57
3282,57
3287,58
3292,58
3297,59
3302,59
3307,61
3312,59
3317,59
3322,58
3327,58
3332,58
3337,58
3342,59
3347,57
3352,54
3357,58
3362,58
3367,58
3372,58
3377,57
3382,58
3387,59
3392,55
3397,59
3402,55
3407,59
3412,58
3417,58
3422,59
3427,58
3432,58
3437,58
3442,58
3447,57
3452,55
3457,58
3462,57
3467,60
3472,60
3477,57
3482,59
3487,55
3492,55
3497,58
3502,55
3507,57
3512,57
3517,58
3522,59
3527,58
3532,58
3537,57
3542,57
3547,59
3552,57
3557,58
3562,55
3567,57
3572,59
3577,55
3582,58
3587,58
3592,58
3597,57
3602,55
3607,59
3612,56
3617,58
3622,59
3627,57
3632,58
3637,58
3642,58
3647,58
3652,55
3657,58
3662,56
3667,55
3672,56
3677,59
3682,57
3687,54
3692,58
3697,58
3702,59
3707,57
3712,58
3717,61
3722,57
3727,55
3732,58
3737,57
3742,61
3747,55
3752,57
3757,58
3762,56
3767,58
3772,55
3777,53
3782,58
3787,57
3792,57
3797,57
3802,55
3807,57
3812,55
3817,57
3822,59
3827,58
3832,59
3837,55
3842,57
3847,58
3852,55
3857,58
3862,58
3867,58
3872,60
3877,60
3882,59
3887,55
3892,57
3897,57
3902,58
3907,57
3912,59
3917,55
3922,64
3927,55
3932,58
3937,60
3942,55
3947,58
3952,57
3957,59
3962,58
3967,58
3972,52
3977,55
3982,52
3987,57
3992,57
3997,53
4002,54
4007,51
4012,57
4017,64
4022,58
4027,64
4032,59
4037,61
4042,59
4047,51
4052,58
4057,60
4062,55
4067,59
4072,55
4077,55
4082,55
4087,55
4092,59
4097,57
4102,59
4107,64
4112,55
4117,50
4122,59
4127,60
4132,52
4137,61
4142,62
4147,62
4152,55
4157,55
4162,59
4167,53
4172,27
4177,59
4182,63
4187,58
4192,51
4197,64
4202,36
4207,64
4212,43
4217,55
4222,64
4227,45
4232,62
4237,52
4242,57
4247,51
4252,57
4257,67
4262,58
4267,64
4272,55
4277,53
4282,48
4287,54
4292,58
4297,69
4302,54
4307,65
4312,59
4317,48
4322,58
4327,48
4332,58
4337,48
4342,54
4347,58
4352,49
4357,64
4362,55
4367,55
4372,54
4377,55
4382,25
4387,58
4392,32
4397,54
4402,57
4407,37
4412,61
4417,62
4422,27
4427,58
4432,57
4437,55
4442,59
4447,57
4452,57
4457,57
4462,59
4467,51
4472,60
4477,54
4482,57
4487,58
4492,57
4497,53
4502,55
4507,58
4512,58
4517,59
4522,51
4527,55
4532,57
4537,55
4542,54
4547,57
4552,58
4557,54
4562,55
4567,54
4572,59
4577,57
4582,55
4587,61
4592,59
4597,59
4602,54
4607,58
4612,54
4617,53
4622,57
4627,59
4632,54
4637,59
4642,54
4647,54
4652,58
4657,57
4662,58
4667,50
4672,58
4677,54
4682,57
4687,53
4692,58
4697,57
4702,55
4707,59
4712,55
4717,58
4722,59
4727,56
4732,59
4737,55
4742,53
4747,54
4752,60
4757,53
4762,54
4767,58
4772,54
4777,58
4782,58
4787,59
4792,55
4797,62
4802,54
4807,54
4812,55
4817,59
4822,55
4827,58
4832,60
4837,60
4842,55
4847,55
4852,61
4857,60
4862,61
4867,55
4872,59
4877,54
4882,55
4887,59
4892,53
4897,57
4902,56
4907,63
4912,58
4917,54
4922,55
4927,55
4932,55
4937,51
4942,51
4947,64
4952,57
4957,56
4962,64
4967,57
4972,53
4977,66
4982,57
4987,58
4992,50
4997,43
5002,57
5007,58
5012,59
5017,50
5022,57
5027,52
5032,59
5037,52
5042,58
5047,54
5052,52
5057,44
5062,61
5067,63
5072,56
5077,59
5082,61
5087,52
5092,56
5097,50
5102,56
5107,58
5112,64
5117,59
5122,53
5127,51
5132,60
5137,55
5142,54
5147,53
5152,50
5157,64
5162,59
5167,58
5172,61
5177,66
5182,58
5187,60
5192,53
5197,64
5202,55
5207,43
5212,60
5217,55
5222,57
5227,55
5232,68
5237,47
5242,49
5247,53
5252,64
5257,59
5262,52
5267,32
5272,68
5277,54
5282,54
5287,57
5292,54
5297,57
5302,53
5307,58
5312,57
5317,56
5322,59
5327,55
5332,57
5337,53
5342,58
5347,56
5352,57
5357,59
5362,54
5367,54
5372,56
5377,53
5382,54
5387,51
5392,59
5397,50
5402,53
5407,58
5412,54
5417,55
5422,58
5427,51
5432,62
5437,54
5442,57
5447,59
5452,54
5457,54
5462,55
5467,55
5472,54
5477,53
5482,61
5487,53
5492,58
5497,54
5502,57
5507,59
5512,57
5517,55
5522,55
5527,54
5532,59
5537,55
5542,59
5547,55
5552,55
5557,57
5562,52
5567,58
5572,54
5577,52
5582,58
5587,55
5592,58
5597,57
5602,57
5607,60
5612,55
5617,59
5622,54
5627,53
5632,54
5637,55
5642,55
5647,59
5652,56
5657,58
5662,52
5667,55
5672,58
5677,55
5682,59
5687,57
5692,59
5697,54
5702,54
5707,55
5712,55
5717,56
5722,54
5727,54
5732,53
5737,55
5742,59
5747,55
5752,58
5757,58
5762,57
5767,60
5772,54
5777,56
5782,59
5787,53
5792,54
5797,55
5802,54
5807,57
5812,52
5817,55
5822,55
5827,57
5832,55
5837,55
5842,55
5847,55
5852,58
5857,56
5862,54
5867,54
5872,57
5877,54
5882,54
5887,54
5892,56
5897,52
5902,54
5907,55
5912,57
5917,56
5922,58
5927,54
5932,53
5937,58
5942,57
5947,56
5952,53
5957,60
5962,54
5967,57
5972,56
5977,58
5982,54
5987,54
5992,57
5997,55
6002,55
6007,58
6012,52
6017,55
6022,53
6027,57
6032,53
6037,53
6042,59
6047,57
6052,52
6057,54
6062,60
